Date,GLD,IWM,QQQ,SPY,TLT,VNQ
2005-01-07,,,,,,
2005-01-14,,,,,,
2005-01-21,,,,,,
2005-01-28,,,,,,
2005-02-04,,,,,,
2005-02-11,,,,,,
2005-02-18,,,,,,
2005-02-25,,,,,,
2005-03-04,,,,,,
2005-03-11,,,,,,
2005-03-18,,,,,,
2005-03-25,,,,,,
2005-04-01,,,,,,
2005-04-08,,,,,,
2005-04-15,,,,,,
2005-04-22,,,,,,
2005-04-29,,,,,,
2005-05-06,,,,,,
2005-05-13,,,,,,
2005-05-20,,,,,,
2005-05-27,,,,,,
2005-06-03,,,,,,
2005-06-10,,,,,,
2005-06-17,,,,,,
2005-06-24,,,,,,
2005-07-01,,,,,,
2005-07-08,,,,,,
2005-07-15,,,,,,
2005-07-22,,,,,,
2005-07-29,,,,,,
2005-08-05,,,,,,
2005-08-12,,,,,,
2005-08-19,,,,,,
2005-08-26,,,,,,
2005-09-02,,,,,,
2005-09-09,,,,,,
2005-09-16,,,,,,
2005-09-23,,,,,,
2005-09-30,,,,,,
2005-10-07,,,,,,
2005-10-14,,,,,,
2005-10-21,,,,,,
2005-10-28,,,,,,
2005-11-04,,,,,,
2005-11-11,,,,,,
2005-11-18,,,,,,
2005-11-25,,,,,,
2005-12-02,,,,,,
2005-12-09,,,,,,
2005-12-16,,,,,,
2005-12-23,,,,,,
2005-12-30,0.0034897865667733135,0.0010907345580826095,0.0005021069551211097,0.0009976944712477,0.0015451217537499609,0.002394380456899798
2006-01-06,0.004806395595670575,0.0028244591509403033,0.002021305388612206,0.0018949642249884461,0.001550815026108886,0.004083855215595003
2006-01-13,0.005193106726384422,0.002868693897725621,0.0022159495877591595,0.0019633706826255076,0.0012648934474747341,0.004211022503628424
2006-01-20,0.004919763037343229,0.0030314336396351153,0.0021291491175550324,0.0017929718743959022,0.0011595833968525283,0.004021225598127356
2006-01-27,0.005091499513203702,0.0035304573720276807,0.0025935561003056695,0.0020746262346125156,0.0006735665486760744,0.005228608044272746
2006-02-03,0.005947506431890251,0.002653639453097175,0.001614739462042844,0.001278829016529487,0.0004906737077983514,0.0044002171603067216
2006-02-10,0.005075675006095496,0.002519528659176225,0.0016590261395238036,0.001248909207268954,0.00034486289864863406,0.004039096206426078
2006-02-17,0.004831469920639563,0.003072810172879096,0.0019554098752538867,0.0016362317492337386,0.0008869957568746879,0.004656320665146792
2006-02-24,0.004733488807518244,0.0030257906451237214,0.0018402016126419557,0.0015601915253036771,0.0008785176529520283,0.005054230610438187
2006-03-03,0.005006551548756566,0.002748053856842865,0.001979750899070877,0.0012585793351854119,0.0006227771237888706,0.00448962145774831
2006-03-10,0.0036906931302281964,0.0030573746964982175,0.0017425742121035595,0.0016033634149250193,0.0008424709408035515,0.0056868962812851
2006-03-17,0.0043812714910318115,0.0037150000821262593,0.0025179930106581307,0.0022033369062448138,0.0009141120938208399,0.006285095618696444
2006-03-24,0.0052547533967855975,0.00415246526048691,0.0025751030639211514,0.0023713541927842504,0.001052942579774257,0.006271824870201902
2006-03-31,0.005958500692034213,0.004497834089096044,0.0029034019468969267,0.0022675942833703484,0.00027337404458208016,0.006246616942745915
2006-04-07,0.006088449376155296,0.004307089810995214,0.0028491061498815114,0.002131466258647104,2.577825762831479e-05,0.005458102348187276
2006-04-14,0.006515921429345418,0.005110319080336077,0.0037728961202110234,0.0026457626309759,-0.0005811486024427699,0.004715419214816629
2006-04-21,0.007232217836173455,0.005363926068265111,0.0035343823188595425,0.0027691703242676904,-0.0005793948059380794,0.005218954651572135
2006-04-28,0.00781661929412601,0.005595375172158499,0.003525951873447356,0.0027861086875187657,-0.0009279331478914026,0.004513532055357456
2006-05-05,0.009026654613057718,0.005356753269378402,0.003190070277420775,0.0027177380463306077,-0.0007602922767697603,0.004604688242605564
